Privacy(Epsilon),Dataset,Method,Score,NumParams
-1,mnli,full-finetuning,0.6521650534895568,4386307
-1,mnli,ia3,0.5753438614365767,2179
-1,mnli,last-layer-finetuning,0.4411614875191034,387
-1,mnli,lora,0.6195618950585838,8579
-1,mnli,prefix,0.5901171676006113,10627
-1,mnli,prefix+lora,0.62190524707081,18819
-1,mnli,soft-prompt,0.5535404992358635,2947
-1,mnli,soft-prompt+lora,0.6025471217524198,11139
-1,qnli,full-finetuning,0.7442796997986454,4386178
-1,qnli,ia3,0.7752150832875709,2050
-1,qnli,last-layer-finetuning,0.6661175178473366,258
-1,qnli,lora,0.766245652571847,8450
-1,qnli,prefix,0.7259174311926605,2818
-1,qnli,prefix+lora,0.7918725974739155,18690
-1,qnli,soft-prompt,0.7358594179022515,2818
-1,qnli,soft-prompt+lora,0.7671609006040637,11010
-1,qqp,full-finetuning,0.8294335889191194,4386178
-1,qqp,ia3,0.7085827355923819,2050
-1,qqp,last-layer-finetuning,0.6793964877566163,258
-1,qqp,lora,0.7523621073460302,8450
-1,qqp,prefix,0.7362602028196884,10498
-1,qqp,prefix+lora,0.7366559485530546,18690
-1,qqp,soft-prompt,0.7035864457086322,2818
-1,qqp,soft-prompt+lora,0.7375216423447934,11010
-1,sst2,full-finetuning,0.7935779816513762,4386178
-1,sst2,ia3,0.7385321100917431,2050
-1,sst2,last-layer-finetuning,0.658256880733945,258
-1,sst2,lora,0.7889908256880734,8450
-1,sst2,prefix,0.7580275229357798,10498
-1,sst2,prefix+lora,0.7729357798165137,18690
-1,sst2,soft-prompt,0.7259174311926605,2818
-1,sst2,soft-prompt+lora,0.7637614678899083,11010
8,mnli,full-finetuning,0.6544065206316861,4386307
8,mnli,ia3,0.5726948548140601,2179
8,mnli,last-layer-finetuning,0.4396332144676516,387
8,mnli,lora,0.6257768721344881,8579
8,mnli,prefix,0.5504839531329597,10627
8,mnli,prefix+lora,0.5574121242995416,18819
8,mnli,soft-prompt,0.5365257259296995,2947
8,mnli,soft-prompt+lora,0.4659195109526235,11139
8,qnli,full-finetuning,0.7682591982427238,4386178
8,qnli,ia3,0.7700896943071572,2050
8,qnli,last-layer-finetuning,0.6576972359509428,258
8,qnli,lora,0.7882116053450485,8450
8,qnli,prefix,0.6908292147171884,10498
8,qnli,prefix+lora,0.7603880651656599,18690
8,qnli,soft-prompt,0.7398865092440051,2818
8,qnli,soft-prompt+lora,0.7761303313197877,11010
8,qqp,full-finetuning,0.812416522384368,4386178
8,qqp,ia3,0.7104377937175365,2050
8,qqp,last-layer-finetuning,0.6805589908483799,258
8,qqp,lora,0.75016077170418,8450
8,qqp,prefix,0.6959930744496661,10498
8,qqp,prefix+lora,0.7143457828345288,18690
8,qqp,soft-prompt,0.6859262923571605,2818
8,qqp,soft-prompt+lora,0.6601533514716794,11010
8,sst2,full-finetuning,0.8142201834862385,4386178
8,sst2,ia3,0.7396788990825688,2050
8,sst2,last-layer-finetuning,0.6571100917431193,258
8,sst2,lora,0.7889908256880734,8450
8,sst2,prefix,0.680045871559633,2818
8,sst2,prefix+lora,0.7649082568807339,18690
8,sst2,soft-prompt,0.680045871559633,2818
8,sst2,soft-prompt+lora,0.7626146788990825,11010
